trial,Choice_RL,Opponent_RA,Feedback_RL,Feedback_RA,RL_estimated_value_left,RL_estimated_value_right,true_alpha,true_tau,cumulative_rate
68,0,0,1,0,0.5,0.5,0,10,0.5147058823529411
69,1,0,0,1,0.5,0.5,0,10,0.5217391304347826
70,1,0,0,1,0.5,0.5,0,10,0.5285714285714286
71,0,0,1,0,0.5,0.5,0,10,0.5211267605633803
72,1,1,1,0,0.5,0.5,0,10,0.5277777777777778
73,0,1,0,1,0.5,0.5,0,10,0.5205479452054794
74,1,0,0,1,0.5,0.5,0,10,0.527027027027027
75,0,1,0,1,0.5,0.5,0,10,0.52
76,0,1,0,1,0.5,0.5,0,10,0.5131578947368421
77,0,1,0,1,0.5,0.5,0,10,0.5064935064935064
78,0,0,1,0,0.5,0.5,0,10,0.5
79,0,0,1,0,0.5,0.5,0,10,0.4936708860759494
80,0,1,0,1,0.5,0.5,0,10,0.4875
81,1,1,1,0,0.5,0.5,0,10,0.49382716049382713
82,0,1,0,1,0.5,0.5,0,10,0.4878048780487805
